词语	义项描述	语料
仁	姓	徐勉，字修 [仁] ，东海郯人也。
仁	地名	夏四月丙申，庐陵高昌之 [仁] 山获铜剑二，始豊县获八目龟一。
仁	地名	德与麾下将一人，五伯二人，弯弓傅矢，乘小船欲还 [仁] 营。
仁	地名	又于皁涧营显 [仁] 宫，苑囿连接，北至新安，南及飞山，西至渑池，周围数百里。
仁	仁政	德宽 [仁] ，群生咸遂，帝业隆兴。
仁	温润	承畴曰：“皇上真 [仁] 主也。”
仁	同情， 怜悯	呼而怨，欲望其哀且[仁]者，愈大谬矣。
仁	通“人”	虽告之曰:“井有[仁]焉。”其从之也?
仁	地名（地名、水名等）	又并蒲、 衍、 首、 垣，以临 [仁]、 平丘。
仁	有感觉能力，麻痹或失去感觉叫“不仁”	虽折能復起，不[仁]皆[仁]。
仁	温润	汉水重安而宜竹， 江水肥[仁]而宜稻。
仁	敬辞	实望[仁]兄，昭其悬迟。
仁	同情，怜悯	将大其声，疾呼而望其[仁]之也。
赤	红色	所谓惑者，非无日月之明、四时之序、星辰之行也，因乎反兹而之惑也，惑故疾视愈乱，惇而易方，兵有符而道有验，备必豫具，虑必蚤定，下因地利，制以五行，左木右金前火后水中土，营军陈，士不失其宜，五度既正，无事不举，招摇在上，缮者作下，取法於天，四时求象，春用苍龙，夏用 [赤] 鸟，秋用白虎，冬用元武。
赤	红色	有木焉，员叶而白柎， [赤] 华而黑理，其实如枳，食之宜子孙。
赤	红色	于郊，故谓之郊， 牲用骍，尚 [赤] 也。
赤	赤狄	晋人灭 [赤] 狄甲氏及留吁。
赤	人名	驷 [赤] 谓侯犯曰：“众言异矣。
赤	地名	竹南有 [赤] 泽水，名曰封渊。
赤	借指汉朝	[赤] 世计尽，终不可强济。
赤	赤眉军	会 [赤] 眉人长安，欲降竟，竟手剑格死。
赤	人名	对曰：“四帝，有白、青、黄、 [赤] 帝之祠。”
赤	人名	今者 [赤] 帝子斩之，故哭。”
赤	地名	乌孙国，大昆弥治 [赤] 谷城，去长安八千九百里。
赤	赤狄	说文云“ [赤] 狄本犬种，字从犬”。
赤	赤眉军	民传言，秦、项、 [赤] 眉之时欲发之，辄颓坏填压，不得发也。”
赤	裸露	平原 [赤] ，勇士厉，猿狖失木，豺狼慑窜。
赤	地名	从平尔硃兆于 [赤] 谼岭，兆自缢，贷文获其尸。
赤	职官	勿嫌法官未登朝，犹胜 [赤] 尉长趋尹。
赤	杀光，诛灭	毅遽掩其口，曰：“毋妄言， [赤] 吾族！”
赤	赤眉军	若无所立，破莽，降 [赤] 眉，然后举尊号，亦未晚也。”
赤	借指汉朝	[赤] 土者，南海中远国也。
赤	职官	李璮叛，世祖命领诸万户为监战达鲁花 [赤] 以讨之。
赤	职官	上州：达鲁花 [赤] 、州尹秩从四品，同知秩正六品，判官秩正七品。
赤	赤道	又用弧三角形，以太阴距黄极为一边，黄极距北极为一边，即黄 [赤] 大距。
赤	杀光，诛灭	而况江西诸郡县切近剥床，触目皆贼兵，随处有贼党，非真有捐躯赴难之义，戮力报主之忠，孰肯甘齑粉之祸，从 [赤] 族之诛，蹈必死之地，以希万一难冀之功乎！
赤	纯真不杂，忠诚不二	圣朝赦罪责功，弃瑕录用，推[赤]心于天下，安反侧于万物
赤	裸露	当流[赤]足蹋涧石，水声激激风吹衣。
赤	空，一无所有	晋国大旱，[赤]地三年。
赤	空，一无所有	当年老使君[赤]手降於菟。
赤	指南方	杂五色，东方谓之青，南方谓之[赤]。
赤	指南方	有景云之瑞，有[赤]方气与青方气相连。
赤	借指汉朝	[赤]世计尽，终不可强济。
赤	初生的婴儿，后泛称百姓	方今朝廷爱黎[赤]，如救焚溺疗饥荒。
赤	初生的婴儿，后泛称百姓	于单[赤]务加恩,而御豪猾特严。
赤	初生的婴儿，后泛称百姓	圣治重仁育,保民如保[赤]。
赤	杀光，诛灭	不知一跌将[赤]吾之族也。
赤	赤道	黄极距北极为一边，即黄[赤]大距。
赤	赤狄	晋人灭[赤]狄甲氏及留吁。
佛	佛教	之说日新月盛，以至于老 [佛] 之徒出，则弥近理而大乱真矣。
佛	佛教	详绝多所发明，然倍其师说而淫于老 [佛] 者，亦有之矣。
佛	人名	阳货乱乎齐 [佛] 以中牟半径。
佛	人名	[佛] 肸召，子欲往。
佛	辅佐，后来写作“弼”	[佛] 时仔肩，示我显德行。
佛	人名	[佛] 肸以中牟畔，子之往也，如之何？”
佛	仿佛，双声词	时仿 [佛] 以遥见兮，精皎皎以往来。
佛	仿佛，双声词	存仿 [佛] 而不见兮，心踊跃其若汤。
佛	仿佛，双声词	颜淫溢而将罢兮，柯仿 [佛] 而萎黄。
佛	通“拂”，违背	今之教者，呻其占毕，多其讯，言及于数，进而不顾其安，使人不由其诚， 教人不尽其材；其施之也悖，其求之也 [佛] 。
佛	佛陀的简称	阿难前白 [佛] ：「摩邓女今日复随我。」
佛	佛陀的简称	[佛] 说是经，诸比丘闻皆欢喜。
佛	佛陀的简称	鸡鸣当早起  被衣来下床  澡漱令心净  两手奉花香[佛] 尊过诸天
佛	佛教	「为 [佛] 弟子，可得商贩营生利业，平斗直尺，不可罔於人，施行以理----不违神明自然之理。
佛	佛教徒称修行圆满的人	云何行，功立相满自致成 [佛] 威神无量
佛	佛教徒称修行圆满的人	其光相好，及与化 [佛] ，不可具说，但当忆想，令心眼见，见此事者，即见十方一切诸 [佛] ，以见诸 [佛] 故，名念 [佛] 三昧。
佛	佛像	尔时香手菩萨於宝藏 [佛] 前头面著地。
佛	佛像	每 [佛] 各一胁士菩萨，二菩萨作合掌像
佛	佛教徒称修行圆满的人	又以己心成 [佛] 所履，若依非依，如登高山，身入虚空，下有微碍，名为顶地。
佛	比喻慈悲的人	於此倜傥分明，皇恩 [佛] 恩，一时报足。
佛	佛像	住了一大会，和尚们请孝子去榜上佥押、 [佛] 前参见，那里寻得见那孝子？
佛	地名	法兰西一名 [佛] 郎机，在欧罗巴之西。
佛	地名	西北：鹤顶、 [佛] 耳、朝天诸山。
佛	比喻慈悲的人	民举手加额，呼余为[佛]。
佛	佛经	两个姑子先念了[佛]偈。
佛	通“拂”，违背	[佛]，戾也。或作拂。
佛	辅佐，后来写作“弼”	[佛]时仔肩，示我显德行。
宗	尊崇	上下奠瘗，靡神不 [宗] 。
宗	宗族，同宗	是曰，士师乃命太 [宗] 序于天时，祠大暑
宗	尊祭之神	正月朔旦，受命于神 [宗] ，率百官若帝之初。
宗	宗族，同宗	妨正匮财，声不和平，非 [宗] 官之所司也。
宗	宗族，同宗	我乃明致天罚，移尔遐逖，比事臣我 [宗] 多逊。”
宗	宗子，即嫡长子	士不摄大夫，士摄大夫，唯 [宗] 子。
宗	祖宗	’今王即命曰：‘记功， [宗] 以功作元祀。
宗	尊崇	庶母及门内，施鞶，申之以父母之命，命之曰：“敬恭听， [宗] 尔父母之言。
宗	祖宗	丧夫人之力，弃德旷 [宗] ，以及其身，不亦害乎？
宗	尊祭之神	延入翼室，恤宅 [宗] 。
宗	本源，主旨	法贵如言，言者万物之 [宗] 也。
宗	尊崇	玺书曰：“制诏昌邑王：使行大鸿胪事少府乐成， [宗] 正德、光禄大夫吉、中郎将利汉征王，乘七乘传诣长安邸。”
宗	帝王的庙号	夫桑谷之生，殆为纣出，亦或时吉而不凶，故殷朝不亡，高 [宗] 寿长。
宗	人名	自宣帝时善梁丘氏说，元帝好之，欲考其异同，令充 [宗] 与诸《易》家论。
宗	本源，主旨	故得道之 [宗] ，应物无
宗	本源，主旨	谨按礼有东宫西宫，辟子之私，不足则资，有余，亦归之於 [宗] 也。
宗	官名	王莽并其官于秩 [宗] 。
宗	人名	临代五鹿充 [宗] 君孟为少府，骏御史大夫，自有传。
宗	人名	西魏遣王思政据颍川，又以绍 [宗] 为南道行台，与太尉高岳、仪同刘丰围击之，堰洧水灌城。
宗	取法	今诸典农，各言‘留者为行者 [宗] 田计，课其力，势不得不尔。
宗	帝王的庙号	太 [宗] 即位，追赠灵符金紫光禄大夫。
宗	取法	初，张衡作定情赋，蔡邕作静情赋，检逸辞而 [宗] 澹泊，始则荡以思虑，而终归闲正。
宗	尊祭之神	於是世主感而虑之，初自燕、代则仁声洽著，行自齐、鲁则英风播流，寄业荆、郢则臣主归心，顾援吴、越则贤愚赖风，奋威巴、蜀则万里肃震，厉师庸、汉则元寇敛迹，故能承高祖之始兆，复皇汉之 [宗] 祀也。
宗	帝王的庙号	贼亦寻至，子一启太 [宗] 曰：“贼围未合，犹可出荡，若营栅一固，无所用武。”
宗	官名	长庆二年闰十月，金吾大将军胡证、副使光禄卿李宪、婚礼使卫尉卿李锐、副使 [宗] 正少卿李子鸿、判官虞部郎中张敏、太常博士殷侑送太和公主至自回纥，皆云：初，公主去回纥牙帐尚可信宿，可汗遣数百骑来请与公主先从他道去。
宗	取法	问:“有问有答则不当 [宗] 风
宗	祖宗	夫为君子者，居家尽孝，奉国尽忠，恭谨立身，节用法则，斯保其禄位，终其富贵；岂容为臣不忠，出言亏信，非但殃身招祸，亦乃辱及先 [宗] 。
宗	宗派，派别	潭州龙牙 [宗] 密禅师，豫章人。
宗	宗派，派别	王简栖《头陀寺碑》，以北统之笔锋，发南 [宗] 之心印，虽极俳偶，而绝无牵率之病。
宗	官名	孙綝遣 [宗] 正孙楷、中书郎董朝，往虎林迎请琅琊王孙休为君。
宗	诸侯夏天朝见天子之礼	仁先自受知兴 [宗] ，即著功绩，人望翕然归之。
宗	诸侯夏天朝见天子之礼	后事宣 [宗] ，册全嫔。
宗	祖庙	[宗]，尊祖庙也。
宗	祖庙	"帝曰∶「俞，咨！伯，	汝作秩[宗]。夙夜惟寅，直哉惟清。"
宗	祖庙	凡师甸用牲于社[宗]。
宗	宗派，派别	一钵事南[宗]，僧仪称病客。
宗	宗子，即嫡长子	以妾代妻，以孽代[宗]。
宗	诸侯夏天朝见天子之礼	春见曰朝，夏见曰[宗]。
宗	朝见，归往	江汉朝[宗]于海。
上	上面	[上] 六，系用徽纆，窴于丛棘，三岁不得，凶。
上	登，升,向上	天气不 [上] 腾，地气不下降，君臣相嫉。
上	时间或次序在前	司射遂进由堂下，北面视 [上] 射，命曰：“不贯不释！”
上	上面	又其 [上] 六为暗之主，六
上	上面	[上] 九过刚，居讼之
上	特指皇帝，君主	此必不顾君 [上] 之法矣。
上	在上者	不以爵禄便近亲，则劳臣不怨；不以刑罚隐疏远，则下亲 [上] 。
上	特指皇帝，君主	子谓子产：“有君子之道四焉：其行己也恭，其事 [上] 也敬，其养民也惠，其使民也义。”
上	特指皇帝，君主	多赏轻刑， [上] 不爱民，民不死赏。
上	时间或次序在前	[上] 射降三等，下射少右，従之，中等；并行， [上] 射于左。
上	进献，送上，上交	是故鲁连飞书，燕将自杀；邹阳 [上] 疏，梁孝开牢。
上	上等	察於参伍， [上] 圣之法也。
上	登，升,向上	申为其冲，了不相亡，多恶畏夜，但能缘木 [上] 下，所畏众多。
上	指上天	皇天以至优之德，与王政〔随〕而谴告〔之〕，则天德不若桓公，而霸君之操过 [上] 帝也。
上	指上天	故天 [上] 从其乐，以顺奉之，大急兵杖而断刑罚。
上	在上者	谪竟， [上] 者著闻曹，一岁有功，乃复故。
上	人名	贰师令搜粟都尉 [上] 官桀往攻破郁成。
上	登，升,向上	故烦懑食不下则络脉有过，络脉有过则血 [上] 出，血 [上] 出者死。
上	进献，送上，上交	蜀王秀时镇益州，列 [上] 其事。
上	河岸，边，畔	弃其疏，乃立枯於洛水之 [上] 。
上	人名	河 [上] 公注：熙熙，淫情欲也。
上	时间或次序在前	若夫殷臣咏汤，追褒玄鸟之祚；周史歌文， [上] 阐后稷之烈；诔述祖宗，盖诗人之则也。
上	进献，送上，上交	时牛弘奏购求天下遗逸之书，炫遂伪造书百余卷，题为《连山易》、《鲁史记》等，录 [上] 送官，取赏而去。
上	地名	长卿《 [上] 林赋》云：“修容乎礼园，翱翔乎书圃。”
上	向前，去，就	入林逢客话， [上] 塔接僧行。
上	指上天	如其国祚再昌， [上] 天降鉴，便请回风， 知神理之幽赞也。”
上	上等	芊韶 [上] 流则欧阳頠、
上	在上者	使桀、纣在 [上] ，虽十尧不能治；使尧、舜在 [上] ，虽十桀不能乱；使懦夫女子乘时得势，亦足坐制群生之命，肆行不义之威。
上	河岸，边，畔	岁月何须溪 [上] 记。
上	向前，去，就	[上] 堂：“拈槌竖拂，祖师门下，将黄叶以止啼。
上	向前，去，就	平江府觉报清禅师， [上] 堂，举：“僧问云门：“如何是诸佛出身处？”
上	河岸，边，畔	深不欲愔居之；而愔暗于事机，乃遗温笺，欲共奖王室，请督所部出河 [上] 。
上	地名	[上] 京留守徒单镒遣同知乌古孙兀屯将兵二万卫中都。
上	时间，时候	宝玉一进来，就和袭人长叹，说道：“我昨儿晚 [上] 的话，竟说错了，怪不得老爷说我是‘管窥蠡测’！
上	放到，放进	吉甫遵命坐下，先吃过饭，重新摆下碟子，斟 [上] 酒来。
上	时间，时候	三岁[上]读得书，五岁[上]属得对。
上	上等	[上]客从赵来。
上	崇尚，以…为上	治天下者审所[上]而已。
上	崇尚，以…为上	嗟！予季行役，夙夜无寐。[上]慎旃哉！犹来无弃。
上	崇尚，以…为上	[上]农除末，黔首是富。
上	放到，放进	[上]于盆而养之，蟹白栗黄备极护爱。
上	教读，学习	昨日[上]的毛诗可温习？
玉	温润有光泽的美石	相捐之道，非不相哀也；不 含珠 [玉] ，不服文锦，不陈牺牲，不设明器也。”
玉	温润有光泽的美石	卓坞中金有二三万斤，银八九万斤，珠 [玉] 、锦绮、奇玩、杂物皆山崇阜积，不可知数。
玉	玉制品，包括配饰、乐器等	左右 [玉] 几，祀先王昨席，亦如之。
玉	温润有光泽的美石	又北百八十里，曰浑夕之山，无草木，多铜 [玉] 。
玉	[玉府]《周礼》官署名。掌管天子之金玉玩好﹑兵器等，也泛指收藏宝物的府库	凡屠者，敛其皮、角、筋、骨，入于 [玉] 府。
玉	玉制品，包括配饰、乐器等	升歌清庙，下管象，朱干 [玉] 戚，冕而舞 大武，皮弁素积，裼而舞大夏。
玉	玉制品，包括配饰、乐器等	天子居玄堂左个，乘玄辂，驾铁骊，载玄畤，衣黑衣，服玄 [玉] ，食黍与彘。
玉	形容美好珍贵，像玉一样	天王亲趋 [玉] 趾，以心孤句践，而又宥赦之。
玉	人名	其秋，羌若零、离留、且种、库共斩先零大豪犹非、杨 [玉] 首，及诸豪弟泽、阳雕、良、靡忘皆帅煎巩、黄羝之属四千余人降汉。
玉	人名	蘧伯 [玉] 为相，子贡往观之，曰：“何以治国？”
玉	形容美好珍贵，像玉一样	不信不诚，则烧 [玉] 灵，扬其灰，以徵後龟。
玉	人名	宋 [玉] 神女赋曰：蜿若游龙，从风翱翔。
玉	形容美好珍贵，像玉一样	汲时月液动，担处 [玉] 浆旋。
玉	神话人物名	下射长鲸眼，遥分 [玉] 兔毫。
玉	神话人物名	先礼三真 [玉] 仙使，然后精心睹文字《教令科》云：欲开示三真等经，先须择甲子日，净室烧香，心存南华真人，念三天真君同开作证。
玉	地名	话说子牙迎接 玉 符、金敕，供于香案上，望 [玉] 虚宫谢恩毕，黄巾力士与白鹤童子别了子牙回昆仑。
玉	地名	杨戩离了西岐，先往 [玉] 虚宫而来；驾着土遁而走。
玉	地名	只求至 [玉] 尺楼下望楼一拜，以表犬马感激之心。”
玉	神话人物名	[玉] 台新咏笺注十卷。
玉	宾爱，帮助	王欲[玉]女，是用大谏。
玉	宾爱，帮助	贫贱忧戚，庸[玉]女于成也。
玉	敬词，尊称对方言行身体	而恐太后[玉]体之有所郄也。
玉	敬词，尊称对方言行身体	马嵬坡下泥土中，不见[玉]颜空死处。
里	专名	冬，晋 [里] 克杀其君之子奚齐。
里	古代一级居民组织单位	与其为善于乡也，不如为善于 [里] ；与其为善于 [里] 也，不如为善于家。
里	长度单位	梢沟三十 [里] ，而广倍。
里	长度单位	夫吏专制决事于千 [里] 之外，十二月而计书以定事，以一岁别计而主以一听见所疑焉，不可，蔽员不足。
里	长度单位	宁昂昂若千 [里] 之驹乎？
里	宅院，住宅区	子产请其田 [里] ，三年而复之，反其田 [里] 及其入焉。
里	古代一级居民组织单位	是故，乡 [里] 有齿，而老穷不遗，强不犯弱，众不暴寡，此由大学 来者也。
里	宅院，住宅区	丁亥，葬诸士孙之 [里] ，四翣，不跸，下车七乘，不以兵甲。
里	里面，内部	既拜，乃毁之，而为 [里] 室，皆如其旧。
里	古代一级居民组织单位	重罪，旬有三日坐，期役；其次，九日坐，九月役；其次，七日坐，七月役；其次；五日坐，五月役；其下罪，三日坐，三月役，使州 [里] 任之，则宥而舍之。
里	宅院，住宅区	母死，送葬者致车二三千两，闾 [里] 歌之曰：“五侯治丧楼君卿。”
里	专名	秦封樗 [里] 子，号为严君。
里	专名	三将至，缪公素服郊迎，乡三人哭曰：“孤以不用百 [里] 傒、蹇叔言以辱三子，三子何罪乎？
里	里面，内部	当知人情，出入表 [里] ，可进可退，无遣人咎，各得增年，延及子孙。
里	里面，内部	不堪深殿 [里] ，帘外欲黄昏。
里	家乡，故里	官，父子相与归乡 [里] ，闭门不出入，犹用汉家祖腊。
里	附在“这”、“那”、“哪”等字后边表示地点，位置，处所	却如何走在这 [里] ？”
里	附在“这”、“那”、“哪”等字后边表示地点，位置，处所	只叫得苦，慌忙转步，一路寻回来时，那 [里] 见!
里	家乡，故里	你与我出街坊上体探，倘有我乡 [里] 人来此做买卖，待我寄一封家书回去。
里	附在“这”、“那”、“哪”等字后边表示地点，位置，处所	且那 [里] 有官得与他做，却叫我们领？
里	衣服的内层	又看包袱，只得一个弹墨花绫水红绸 [里] 的夹包袱， [里] 面只见包着两件半旧绵袄合皮褂子。
里	衣服的内层	[里]，衣内也。
里	衣服的内层	衣外曰表。襦在[里]也。
里	时候	妾身年少[里]，父母俱倾弃。
里	用于句中，相当于“的”“底”	这四句分明是说了我[里]姓名。
里	用于句中，相当于“的”“底”	怕[里]流芳，暗水啼烟细雨。
里	通“理”，治理	乃[里]西土之数。
里	通“理”，治理	经天纬地，而材官万物，制割大理，而宇宙[里]矣。
里	家乡，故里	三老、官属、豪长者、[里]父老皆会。
里	通“理”,地理	通于沟渠，修堤防，树五谷，通于地[里]者也。
里	通“㾖”，忧伤	悠悠我[里]，亦孔之痗。
里	语气词，用在陈述句中表申辩的夸张语气，同“哩”	正旦云梅香，你看奶奶做什么[里] 梅香云奶奶看经哩。
史	官名，殷代史为驻守边疆武官，周礼内史为太宰副职。多指掌管法典、星历、卜筮和记事的官。汉及以后有长史、内史、掾史、御史等官。	景公使祝 [史] 禳彗星晏子谏第六                                         445
史	官名，殷代史为驻守边疆武官，周礼内史为太宰副职。多指掌管法典、星历、卜筮和记事的官。汉及以后有长史、内史、掾史、御史等官。	是以鬼神用飨，国受其福，祝 [史] 与焉。
史	官名，殷代史为驻守边疆武官，周礼内史为太宰副职。多指掌管法典、星历、卜筮和记事的官。汉及以后有长史、内史、掾史、御史等官。	旦占诸 [史] 墨，曰：“吾梦如是，今而日食，何也？”
史	姓、名、谥号	[史] 谌、王延、王林、王吴、赵闳亦降，复见杀。
史	姓、名、谥号	[史] 舍曰：“公行矣，请令公叔必重公。”
史	史书，历史	书之 [史] 策，可以覆视。
史	史书，历史	司坛宿设，掌 [史] 诚陈。
史	史书，历史	看 [史] 策所载，篡易之际，直是难处。
史	姓、名、谥号	梦兰堂（送 [史] 谊伯倅潼川）
史	画师	宋元君将画图，众[史]皆至，受揖而立。
孝	善事父母为孝	意不忠亲之利而害为 [孝] 乎。
孝	善事父母为孝	观布衣也，其友皆 [孝] 悌纯谨畏令，如此者。
孝	善事父母为孝	所谓义者，为人臣忠，为人子 [孝] ，少长有礼，男女有别；非其义也，饿不苟食，死不苟生。
孝	能继先人之志	[孝] 其行，不得仙寿，故自至诚。
孝	姓	[孝] 成王、臨武君曰∶善！
孝	姓	汤得伊尹，以百里之地立为天子；桓公得管仲，立为五霸主，九合诸候，一匡天下； [孝] 公得商君，地以广，兵以强。
孝	姓	夏侯婴自高帝至 [孝] 文，常为太仆。
孝	书名	[孝] 经钩命决曰：云委雾散，殊错沈浮。
孝	书名	行足以应神明，而不能弥纶於俗； [孝] 经曰： 孝悌之至，通於神明。
孝	书名	所撰《周礼义疏》二十卷，《礼记义疏》三十卷、《 [孝] 经义》一卷，并行于世。
孝	年号	[孝] 建以来所改制度，还依元嘉。
孝	祭祀	菲饮食而致 [孝] 乎鬼神，恶衣服而致美乎黻冕。”
孝	居父母丧为孝	开了门进房里，换了一身素衣，便叫土兵街上打了一条麻绦，买了一双绵裤，一顶 [孝] 帽戴在头上；又买了些果品点心、香烛冥纸、金银锭之类，归到哥哥家，从新安设武大灵位。
孝	居父母丧为孝	收拾了灵床，挂了 [孝] 帐，交过三更，晁夫人移在灵床端坐。
孝	地名	丁亥，上发京师，谒 [孝] 陵，巡近边。
孝	居父母丧为孝	’那时我只道是来帮他的，他只道是来帮我的，各各收回兵器，跳出圈子一看，只见那人一身素妆，戴着 [孝] 髻，斜挎张弹弓儿，原来是个女子！”
孝	祭祀	禹，吾无间然矣。菲饮食而致[孝]乎鬼神…
孝	能继先人之志	追[孝]于前文人。
孝	丧服	原来这婆娘自从药死了武大，那里肯戴[孝]。
化	变化	仲尼曰：“古之人外 [化] 而内不 [化] ，今之人内 [化] 而外不
化	变化	《文言》曰：坤至柔而动也刚，至静而德方，后得主而有常，含万物而 [化] 光。
化	变化	阴阳三合，何本何 [化] ？
化	教化	感於心则荡乎音，音成於外而 [化] 乎内。
化	教化	有知顺之为倒、倒之为顺者，则可与言 [化] 矣。
化	教化	道德純備，智惠甚明，南面而聽天下，生民之屬莫不震動從服以 [化] 順之。
化	地名	今庆州弘 [化] 县是。
化	人名	领江淮众数千人，期以营将发时，晨起袭 [化] 及。
化	人名	永熙中，诏通直散骑常侍孙僧 [化] 与太史胡世荣、太史令张宠、赵洪庆及中书舍人孙子良等在门下外省，校比天文书，集甘、石二家星经，及汉、魏以来二十三家经占，集五十五卷。
化	思想上的消化领会，融会贯通	故性实之士服其平和良正，清静之人慕其玄虚退让，文学之士嘉其推步详密，法理之士明其分数精比，意思之士知其沈深笃固，文章之士爱其著论属辞，制度之士贵其 [化] 略较要，策谋之士赞其明思通微，凡此诸论，皆取適己所长而举其支流者也。
化	风俗，风气	尚书曰：弊 [化] 奢丽，万世同流。
化	风俗，风气	若省郡守，县皆径达，事不拥隔，官无留滞，三代之风，虽未可必，简一之 [化] ，庶几可致，便民省费，在於此矣。”
化	人名	[化] 及复令人捕暕，暕时尚卧未起，贼既进，暕惊曰：“是何人？”
化	风俗，风气	安上治民， [化] 风移。
化	造化，大自然的创造化育	常愿追禅理，安能挹 [化] 源。
化	造化，大自然的创造化育	真也者，得之不死不生，生死应 [化] ，不损不劳，保此贵重，故号道宝。
化	地名	) [化] 成辽苏州安复军，本高丽地，兴宗置。
化	造化，大自然的创造化育	他的汉子吴学颜虽然成了瘸子，都也行动得了，晁夫人也留他在乡里编席管园，为人梗直倔强，天生天 [化] ，真真是与他老婆一对。
化	地名	累迁四川 [化] 林营参将。
化	年号	成 [化] 九年，土鲁番陷哈密。
化	年号	成 [化] 十一年与刘珝同受命，兼翰林学士，入阁预机务。
化	年号	北有镇戎守御千户所，成 [化] 十二年以葫芦峡城置。
化	募化，化缘	你去那里[化]些斋吃。
化	烧	昔者先王……未有火[化]。
化	食物消化	病反腹满，肠鸣溏泄，食不[化]。
化	死	同物既无虑，[化]去不复悔。
化	死	惟君平昔，聪明绝人，今虽[化]去，夫岂无物!
儒	孔子的学派	[儒] 有可亲而不可劫也，可近而不可迫也，可杀而不可辱也。
儒	孔子的学派	[儒] 有一亩之宫，环堵之室，筚门圭窬，蓬户瓮牖；易衣而出，并日而食，上 答之不敢以疑，上不答不敢以谄，其仕有如此者。
儒	孔子的学派	[儒] 墨相与辩，其父助翟。
儒	旧时对学者或读书人的称呼	法後王，一制度，隆禮義而殺詩書；其言行已有大法矣，然而明不能齊法教之所不及，聞見之所未至，則知不能類也；知之曰知之，不知曰不知，內不自以誣，外不自以欺，以是尊賢畏法而不敢怠傲∶是雅 [儒] 者也。
儒	旧时对学者或读书人的称呼	鲁有 [儒] 生自媒能治之，华子之妻子以居产之半请其方。
儒	旧时对学者或读书人的称呼	[儒] 之為人下如是矣。」
儒	专名	优旃者，秦倡侏 [儒] 也。
儒	专名	优倡侏 [儒] 为戏而前。
儒	专名	[儒] 犹以此召还，为太仆。
儒	通“濡”，缓慢	嶷性 [儒] 缓不断，终日昏睡。
儒	春秋时从巫、史、祝、卜中分化出来的、熟悉诗书礼乐而为贵族服务的人	[儒]，术士之称。
儒	春秋时从巫、史、祝、卜中分化出来的、熟悉诗书礼乐而为贵族服务的人	通天地之人曰[儒]。
儒	春秋时从巫、史、祝、卜中分化出来的、熟悉诗书礼乐而为贵族服务的人	能说一经者为[儒]生。
儒	通“懦”，懦弱	劳苦之事，则偷[儒]转脱。
儒	愚昧	[儒]，愚也。
儒	通“濡”，缓慢	[儒]，此言圣人之动静、开阖、诎信、…取与之必因于时也。
下	表示属于一定的范围、处所、条件等	命行人修春秋之礼于天 [下] 诸候通天下遇者兼如，
下	下一等的，身份低的	[下] 射升，上射揖，并行。
下	表示属于一定的范围、处所、条件等	67.天 [下] 皆谓我道大似不肖。
下	表示属于一定的范围、处所、条件等	故拘之以利，结之以信，示之以武，故天 [下] 小国诸侯既许桓公，莫之敢背，就其利而信其仁、畏其武。
下	下属，卑辈	庆郑曰：“ [下] 有直言，臣之行也；上有直刑，君之明也。
下	下属，卑辈	函掩其迹，匿有端， [下] 不能原；去其智，绝其能，下不能意。
下	下一等的，身份低的	’ [下] 臣不幸，属当戎行，无所逃隐。
下	下一等的，身份低的	“ [下] 士闻道大笑之。”
下	下面	又用制作未定，上自公侯， [下] 至小吏，皆不得奉禄，而私赋敛，货赂上流，狱讼不决。
下	皇后、皇太子、诸王的敬称	今陛 [下] 在洛阳，今斩吾头，驰三十里间，形容尚未能败，犹可观也。”
下	时间、次序在后的	汉将韩信已平赵、燕，用蒯通计，度平原，袭破齐历 [下] 军，因入临淄。
下	皇后、皇太子、诸王的敬称	然恶端已见，又有弑许后事，陛 [下] 虽宽仁，恐左右不听，久之犹发，发即族矣，不如先也。”
下	时间、次序在后的	后军候赵德使罽宾，与阴末赴相失，阴末赴锁琅当德，杀副已 [下] 七十余人，遣使者上书谢。
下	下属，卑辈	二世愈甚，惠不 [下] 施，情不上达；君臣相疑，骨肉相疏；化道浅薄，纲纪坏败；民不见义，而悬于不宁。
下	皇后、皇太子、诸王的敬称	臣等前奏，盖陈祖考之功，天命又应，陛 [下] 之德，合同四海，述古考今，宜循此礼。
下	从高处到低处，降落	故舜命九贤，则无所用心，弹五弦之琴，咏南风之诗，不 [下] 堂庙而天下治也。
下	专名	卓，初与赵裔俱赠金紫光禄大夫，又追封封阳县侯，妻 [下] 邳赵氏封吴郡寿昌县君。
下	去、往	孤鸟西北飞，离兽东南 [下] 。
下	下面	削基憎峻，而不觉 [下] 堕则上崩，故倾颓莫之扶也。
下	专名	建兴元年，丞相亮开府，以忠为门 [下] 督。
下	（棋类）用，从事	孙息以棋子置 [下] ，加九鸡子其上。
下	下面	太祖常得名珰数具，命后自选一具，后取其中者，太祖问其故，对曰：“取其上者为贪，取其 [下] 者为伪，故取其中者。”
下	时间、次序在后的	若夫要离灭家以效功，纪信赴燔以诳楚，陈贾刎颈以证弟，仲由投命而菹醢，嬴门伏剑以表心，聂政感惠而屠菹，荆卿绝膑以报燕，樊公含悲而授首，皆 [下] 愚之狂惑，岂上智之攸取哉！
下	专名	初随父在 [下] 邳，与彭城陈敬文友善。
下	退出，离开	令策 [下] 马：“此草深，卒有惊急，马不及萦策，但牵之，执弓矢以步。
