爱,1.喜爱，爱好。如：[爱]此沧江闲白鸥。2.通""薆(ài)""，隐蔽，躲藏。如：[爱]而不见，搔首踟躇。3.爱护，加惠，钦慕，爱戴。如：[爱]好人物，善诱无倦，士类以此高之。"
作,[名]1.工人、工匠。如：「木作」、「石作」、「瓦作」。2.製作某些工藝作品的場所。如：「作坊」。《三國志．卷二四．魏書．孫禮傳》：「禮徑至作所。不復重奏，稱詔罷民，帝奇其意而不責也。」[動]招惹、自找。如：「自作自受」。
左,[動]1.輔佐。《說文解字．左部》：「手相左也。」《易經．泰卦．象曰》：「輔相天地之宜，以左右民。」2.違背。如：「意見相左」。唐．韓愈〈答竇秀才書〉：「身勤而事左，辭重而請約，非計之得也。」[名]1.表示方向、位置。與「右」相對。如：「向左轉」、「前後左右」。2.東方。如：「江左」、「山左」。《詩經．唐風．有杕之杜》：「有杕之杜，生于道左。」3.姓。如晉代有左思。[形]1.左手這邊的。相對於「右」。如：「左方」、「左面」。2.急進的、偏激的。如：「左派」、「左性子」。3.不正當的。如：「旁門左道」。[副]1.參見「左計」條。2.參見「左遷」條。3.偏、差錯。如：「你想左了。」、「他說左了。」
坐,[動]1.彎曲下肢，將臀部附著在座位上休息。與站相對。如：「坐下」、「坐在椅子上」。2.古人席地而坐時兩膝著地，故亦稱跪為「坐」。《禮記．玉藻》：「退則坐取屨。」唐．孔穎達．正義：「坐，跪也。」3.居、處。如：「坐落」、「坐北朝南」、「坐二望一」。4.搭乘。如：「坐車」、「坐船」。5.干犯。如：「坐法當死」。6.處斷、定罪。如：「連坐」、「坐死」。《韓非子．定法》：「公孫鞅之治秦也，設告相坐而責其實。」《隋書．卷八三．西域傳．吐谷渾傳》：「殺人及盜馬者死，餘坐則徵物以贖罪。」7.北平、河北、天津方言。指物體重心極力向下壓。如：「這房子向下坐了。」8.蒞臨。參見「坐殿」、「坐堂」等條。[名]席位。通「座」。《三國志．卷二一．魏書．王粲傳》：「時邕才學顯著，貴重朝廷，常車騎填巷，賓客盈坐。」[副]1.堅守不去。參見「坐鎮」、「坐索」等條。2.比喻平白的、不勞而獲的。如：「坐享其成」、「坐收漁利」。[介]因為。《後漢書．卷二四．馬援傳》：「曾祖父通，以功封重合侯，坐兄何羅反，被誅。」唐．杜牧〈山行〉：「停車坐愛楓林晚，霜葉紅於二月花。」
尊,[名]1.酒器。《廣韻．平聲．魂韻》：「尊，《說文》曰：『酒器也。』」《周禮．春官．小宗伯》：「辨六尊之名物，以待祭祀賓客。」2.對長輩的敬稱。如：「尊長」。北齊．顏之推《顏氏家訓．風操》：「凡宗親世數，有從父，有從祖，有族祖。江南風俗，自茲已往，高秩者，通呼為尊。」3.量詞。計算大炮或神像的單位。如：「十尊大炮」、「五尊神像」。[動]敬重。如：「尊敬」、「尊師重道」。《禮記．曲禮上》：「禮者自卑而尊人。」[形]1.稱人的敬辭，通常加在與對方有關的人事物上。如：「尊體」、「尊囑」、「尊夫人」、「尊姓大名」。2.高。《易經．繫辭上》：「天尊地卑，乾坤定矣。」3.顯貴的。如：「尊貴」。《禮記．曲禮上》：「尊客之前不叱狗。」
宗,[名]1.祖廟。《左傳．成公三年》：「首其請於寡君而以戮於宗。」2.祖先。如：「列祖列宗」、「祖宗」。3.家族。《左傳．僖公五年》：「晉吾宗也，豈害我哉？」南朝宋．劉義慶《世說新語．規箴》：「卿一宗在朝有幾人？」4.根本、主旨。《國語．晉語四》：「禮賓矜窮，禮之宗也。」《老子》第四章：「淵兮似萬物之宗。」5.派別。宋．嚴羽《滄浪詩話．詩辨》：「禪家者流，乘有大小，宗有南北，道有邪正。」6.古代諸侯朝見天子的禮節。《周禮．春官．大宗伯》：「春見曰朝，夏見曰宗。」7.量詞。計算交易或事物數量的單位。如：「一宗買賣」、「數宗公文」。《儒林外史》第四七回：「方六老爺拿手一宗一宗的指著說與他聽。」8.姓。如宋代有宗澤。[動]尊崇、效法。《詩經．大雅．公劉》：「食之飲之，君之宗之。」《後漢書．卷一一．劉盆子傳》：「崇雖起勇力而為眾所宗，然不知書數。」[形]1.同姓的。如：「宗兄」、「宗弟」。2.主要的。如：「宗旨」。
從,[名]蹤跡。同「蹤」。《史記．卷八六．刺客傳．聶政傳》：「今乃以妾尚在之故，重自刑以絕從。」《漢書．卷五九．張湯傳》：「上問：『變事從跡安起？』湯陽驚曰：『此殆文故人怨之。』」
祠,[名]1.春天的祭祀。《說文解字．示部》：「祠，春祭曰祠，品物少，多文詞也。」2.供奉祖先或先賢烈士的地方。如：「祖祠」、「忠烈祠」。《紅樓夢》第五三回：「且說賈珍那邊開了宗祠，著人打掃，收拾供器，請神主。」[動]祭祀。《書經．伊訓》：「惟元祀十有二月乙丑，伊尹祠于先王。」《後漢書．卷三．肅宗孝章帝紀》：「戊辰，進幸中山，遣使者祠北嶽。」
茨,[動]1.用茅草、葦草蓋屋。《說文解字．艸部》：「茨，茅蓋屋。」《新唐書．卷一二四．宋璟傳》：「廣人以竹茅茨屋，多火。」2.積土填滿。《淮南子．泰族》：「掘其所流而深之，茨其所決而高之。」[名]1.用茅草或葦草蓋成的屋頂。《詩經．小雅．莆田》：「曾孫之稼，如茨如梁。」漢．鄭玄．注：「茨，屋蓋也。」《文選．王襃．聖主得賢臣頌》：「生於窮巷之中，長於蓬茨之下。」2.蒺藜的舊稱。3.姓。如漢代有茨充。
辭,[名]1.辯訟的話。《說文解字．辛部》：「辭，說也」。《周禮．秋官．鄉士》：「聽其獄訟，察其辭。」2.敘述、說明的語言文字。通「詞」。如：「言辭」、「措辭」。《易經．繫辭下》：「吉人之辭寡，躁人之辭多。」3.口實、話柄。如：「欲加之罪，何患無辭！」宋．辛棄疾〈論荊襄上流為東南重地〉：「朝廷固無辭以罪之也。」4.文體名。起於戰國時期的楚國，屈原為最具代表性的作家。漢人集屈原、宋玉等人作品為楚辭，後人因稱此類賦體文學為「辭賦」或「辭」。[動]1.告知。《周禮．夏官．太僕》：「王不視朝，則辭於三公及孤卿。」漢．鄭玄．注：「辭，謂以王不視朝之意告之。」2.推卻、不接受。如：「推辭」、「辭謝」、「赴湯蹈火，在所不辭。」3.告別。如：「告辭」、「辭行」。《戰國策．趙策三》：「遂辭平原君而去，終身不復見。」4.責備。《左傳．昭公九年》：「晉梁丙、張趯率陰戎伐潁，使詹桓伯辭於晉。」晉．杜預．注：「辭，責讓也。」5.解雇、解聘。參見「辭退」條。
此,[代]這個。與「彼」相對。如：「此人」、「特此公告」、「不分彼此」。[副]如此、這樣。北周．庾信〈哀江南賦〉：「惜天下之一家，遭東南之反氣，以鶉首而賜秦，天何為而此醉！」[連]斯、乃、則。《禮記．大學》：「有德此有人，有人此有土，有土此有財，有財此有用。」
朿,[名]木芒，樹木枝葉上最尖銳的部位。《說文解字．朿部》：「朿，木芒也。」
賜,(一)之語音。
才,[名]1.天賦的能力、稟性。《孟子．告子上》：「富歲子弟多賴，凶歲子弟多暴，非天之降才爾殊也。」2.力量、智慧。通「材」。《詩經．魯頌．駉》：「思無期，思馬斯才。」漢．王充《論衡．實知》：「人才有高下，知物由學，學之乃知，不問不識。」3.有才能、智慧的人。如：「天才」、「英才」、「幹才」。《孟子．離婁下》：「中也養不中，才也養不才。」《禮記．文王世子》：「凡語于郊者，必取賢斂才焉。」4.諷稱某類的人。如：「蠢才」、「奴才」。5.姓。如明代有才寬。[副]1.方、始。如：「剛才」、「方才」、「戲才開鑼」、「呆了半晌，我才會意過來。」《晉書．卷七九．謝安傳》：「才小富貴，便豫人家事。」2.僅。如：「他今年才五歲。」、「我身上才帶五塊錢。」3.表示強調的語氣。如：「我才不幹呢！」、「他哪有累？我才累呢！」
采,[動]1.摘取。《詩經．周南．關雎》：「參差荇菜，左右采之。」宋．陸游〈春晚即事〉詩四首之四：「老農愛犢行泥緩，幼婦憂蠶采葉忙。」2.擇取。《史記．卷六．秦始皇本紀》：「采上古『帝』位號，號曰『皇帝』。」3.蒐集。《漢書．卷三○．藝文志》：「故古有采詩之官，王者所以觀風俗，知得失，自考正也。」唐．柳宗元〈永州鐵爐步志〉：「予以為古有太史，觀民風，采民言。若是者，則有得矣。」4.掘取。漢．桓寬《鹽鐵論．復古》：「往者豪強大家，得管山海之利，采鐵石鼓鑄煮鹽。」[名]1.有顏色的帛。《漢書．卷九一．貨殖傳》：「文采千匹。」唐．顏師古．注：「帛之有色者曰采。」2.色彩。《禮記．月令》：「命婦官染采。」3.神色。如：「神采」、「興高采烈」。《漢書．卷六八．霍光傳》：「初輔幼主，政自己出，天下想聞其風采。」《儒林外史》第八回：「前晤尊公大人，幸瞻丰采。」4.文彩。《楚辭．屈原．九章．懷沙》：「文質疏內兮，眾不知余之異采。」南朝梁．劉勰《文心雕龍．情采》：「繁采寡情，味之必厭。」
蔡,[名]1.野草。《說文解字．艸部》「蔡」字．清．段玉裁．注：「草生之散亂也。」《文選．左思．魏都賦》：「蔡莽螫剌，昆蟲毒噬。」2.大龜。《左傳．襄公二十三年》：「臧武仲自邾使告臧賈，且致大蔡焉。」唐．元稹〈芳樹〉詩：「清池養神蔡，已復長蝦蟆。」3.國名。周代諸侯國之一。故址約位於今大陸地區河南省新蔡、上蔡、汝南一帶。4.姓。如春秋時晉國有蔡墨。
曹,[名]1.古代訴訟時，稱原告和被告兩方為「兩曹」。2.古代分科辦事的官署部門或官職。《續漢書志．第二六．百官志三》：「成帝初置尚書四人，分為四曹。」《文明小史》第七回：「現在的人，都把知府看得是個閑曹。」3.群眾、同伴。《左傳．昭公十二年》：「周原伯絞虐其輿臣，使曹逃。」唐．杜甫〈曲江三章章五句〉三首之一：「白石素沙亦相蕩，哀鴻獨叫求其曹。」4.國名。周代諸侯國之一。故址約在今大陸地區山東西部。5.姓。如三國時魏有曹植。[代]等輩、儕類。如：「爾曹」、「吾曹」、「女曹」。《後漢書．卷四七．班超傳》：「卿曹與我俱在絕域，欲立大功以求富貴。」[副]共同、一齊。《國語．周語下》：「且民所曹好，鮮其不濟也。」
艸,[名]1.草本植物的總稱。同「草」。《說文解字．艸部》：「艸，百芔也。」2.二一四部首之一。
倉,[名]1.收藏穀物的地方。如：「米倉」。唐．聶夷中〈田家〉詩二首之一：「六月禾未秀，官家已修倉。」2.泛指屯聚物品的建築物。如：「貨倉」、「鹽倉」。3.船的內部。通「艙」。宋．楊萬里〈五月初二日苦熱〉詩：「船倉周圍各五尺，且道此中底寬窄。」4.姓。如春秋時周有倉葛。[形]青色的。通「蒼」。《禮記．月令》：「駕倉龍，載青旂。」[副]匆促的樣子。參見「倉皇」、「倉卒」等條。
麤,[形]1.超遠、遙遠。《說文解字．麤部》：「麤，行超遠也。」2.同「粗」。
夊,(一)之又音。
琮,[名]1.古代一種用以祭地的祥瑞玉器，呈四角或八角的方柱形，中有圓孔。《說文解字．玉部》：「琮，瑞玉。大八寸，似車釭。」《周禮．春官．大宗伯》：「以蒼璧禮天，以黃琮禮地。」2.姓。如宋代有琮師古。
司,[動]掌管。如：「職司」、「司儀」、「各司其事」。《文選．陸機．文賦》：「辭程才以效伎，意司契而為匠。」[名]1.中央機關各部以下的組織單位。如：「外交部禮賓司」、「教育部社會教育司」。2.姓。如宋代有司超。
虒,[名]1.傳說中的水中怪獸。《廣韻．平聲．支韻》：「虒，似虎有角，能行水中。」2.虒祁：古代宮室名稱。位於今大陸地區山西省曲沃縣西南，北臨汾水。《左傳．昭公八年》：「於是晉侯方築虒祁之宮。」
絲,[名]1.蠶所吐的東西，可製造絹帛。《說文解字．絲部》：「絲，蠶所吐也。」《詩經．衛風．氓》：「氓之蚩蚩，抱布貿絲。」2.絲織品的總稱。《史記．卷三○．平準書》：「天下已平，高祖乃令賈人不得衣絲乘車。」3.纖細如絲的東西。如：「雨絲」、「髮絲」、「鋼絲」。唐．杜甫〈雨〉詩四首之二：「江雨舊無時，天晴忽散絲。」4.指極微的量。如：「一絲不苟」、「一絲微笑」。5.中國古代樂器「八音」分類法之一，通常以製作材質來分，此處泛指絲弦類樂器，如琴、瑟之屬一類的弦樂器。《周禮．春官．大師》：「皆播之以八音：金、石、土、革、絲、木、匏、竹。」[形]1.以絲製成的。如：「絲巾」、「絲綿」。《樂府詩集．卷七三．雜曲歌辭一三．古辭．焦仲卿妻》：「足下躡絲履，頭上玳瑁光。」2.極細微的、纖細如絲的。如：「絲毫」、「一絲不苟」、「一絲微笑」。南朝宋．鮑照〈代陸平原君子有所思行〉：「蟻壤漏山阿，絲淚毀金骨。」
死,[動]1.喪失生命。與「活」相對。如：「死於非命」、「人死不能復生」。2.斷絕、放棄。如：「死心」。《莊子．田子方》：「夫哀莫大於心死。」3.為某人或某事犧牲生命。如：「死難」、「死節」。《史記．卷九二．淮陰侯傳》：「食人之食者，死人之事，吾豈可以鄉利倍義乎？」晉．陶淵明〈詠荊軻〉詩：「君子死知己，提劍出燕京。」[形]1.喪失生命的。如：「死狗」。2.失去作用或效力的。如：「死會」、「死棋」、「死井」。3.不通達的或不活動的。如：「死巷」、「死水」、「死結」。4.呆板、不靈活。如：「死板」、「死腦筋」。5.既定而不可改變的。如：「死法子」、「死規矩」。6.咒罵的話，亦表示親暱的意思。如：「死鬼」、「死老頭」。[副]1.拚命的。如：「死守」、「死戰」。2.非常、極甚。表示程度達到極點。如：「怕死了」、「熱死了」、「笑死了」。3.堅決、固執或不知變通。如：「死記」、「死不肯說」、「死不承認」、「死賣力氣」、「死抓不放」。4.固定而不能活動。如：「抽屜給釘死了。」、「給自己留點轉圜的餘地，別把話說死了。」5.阻滯不通。如：「堵死了」。6.毫無知覺，像死的樣子。如：「他睡得真死。」
巳,[名]1.地支的第六位。2.時辰名。約當早晨九點到十一點。
汜,[名]1.復回主流的支流。《爾雅．釋水》：「水決之澤為汧，決復入為汜。」晉．郭璞．注：「水出去復還。」2.不流通的水。《爾雅．釋丘》：「窮瀆，汜。」晉．郭璞．注：「水無所通者。」3.水涯、水邊。《楚辭．屈原．天問》：「出自湯谷，次于蒙汜。」漢．王逸．注：「汜，水涯也。」4.參見「汜水」條。
祀,[動]祭祀。《爾雅．釋詁下》：「祀，祭也。」《周禮．春官．典瑞》：「四圭有邸，以祀天旅上帝。」[名]年。《書經．洪範》：「惟十有三祀，王訪于箕子。」南朝梁．蕭統〈文選序〉：「自姬漢以來，眇焉悠邈，時更七代，數逾千祀。」
四,[名]1.介於三和五之間的自然數。如：「三、四、五、六……」。大寫作「肆」，阿拉伯數字作「4」。2.古代樂譜上用來表示音高的符號。如工尺譜、二四譜（潮州音樂）。3.姓。如宋代有四象。[形]第四的。如：「四更天」、「四年級」、「四品官」。
兕,[名]古代一種似牛的野獸。《爾雅．釋獸》：「兕，似牛。」晉．郭璞．注：「一角，青色，重千斤。」《論語．季氏》：「虎兕出於柙，龜玉毀於櫝中。」
嗣,[動]繼續、承繼。如：「嗣位」、「嗣業」。唐．韓愈〈河南府同官記〉：「嗣紹家烈，不違其先。」[名]1.後代子孫。如：「後嗣」。《書經．大禹謨》：「罰弗及嗣，賞延于世。」唐．柳宗元〈封建論〉：「自天子至于里胥，其德在人者，死必求其嗣而奉之。」2.接續職務的人。《左傳．襄公三年》：「祁奚請老，晉侯問嗣焉？」3.姓。如漢代有嗣光宙。
肆,[名]1.市集貿易的地方、店鋪。如：「酒肆」、「茶肆」。《論語．子張》：「百工居肆，以成其事。」2.四的大寫。3.姓。如漢代有肆敏。[動]1.放縱，不加拘束。如：「肆無忌憚」。唐．韓愈〈柳子厚墓誌銘〉：「為深博無涯涘，一自肆於山水閒。」2.擴張、伸展。《左傳．僖公三十年》：「既東封鄭，又欲肆其封。」《文選．嵇康．琴賦．序》：「是故復之而不足，則吟詠以肆志。」3.陳列、陳設。如：「肆筵設席」。《詩經．大雅．行葦》：「或肆之筵，或授之几。」4.操持。晉．陶淵明〈庚戌歲九月中於西田穫早稻〉詩：「晨出肆微動，日入負禾還。」5.竭盡、用足。如：「肆力」、「肆目而望」。唐．柳宗元〈設漁者對智伯〉：「愈肆其力，逆流而上。」[形]任意、放縱。如：「放肆」。[副]恣意的。如：「肆虐」、「肆飲」。
三,同「仨」。
卅,[名]三十。如：「他今年卅八歲。」晉．王羲之〈雜帖〉：「建安靈柩至，慈陰幽絕，垂卅年。」
塞,[動]1.阻隔不通。如：「堵塞」、「阻塞」、「閉塞」。《文選．諸葛亮．出師表》：「不宜妄自菲薄，引喻失義，以塞忠諫之路也。」2.充滿。如：「充塞」。《禮記．孔子閒居》：「志氣塞乎天地。」3.推託、應付。如：「搪塞」、「塞責」。4.補救。《漢書．卷七一．于定國傳》：「今丞相、御史將欲何施以塞此咎？悉意條狀，陳朕過失。」
瑟,[名]樂器名。一種彈撥弦樂器。形狀似琴，長八尺一吋，廣一尺八吋，相傳為庖犧所作。古有五十弦，後改為二十五弦，弦各有柱，可上下移動，以定聲音清濁高低。[副]單獨、寂寞、蕭條。如：「瑟居」、「蕭瑟」。[狀]形容風聲。如：「谷風瑟瑟」。
嗇,[形]儉省。如：「吝嗇」、「慳嗇」。《管子．五輔》：「纖嗇省用，以備飢饉。」[名]耕作的事。通「穡」。《漢書．卷一○．成帝紀》：「服田力嗇，乃亦有秋。」
叟,參見「叟兵」、「叟叟」等條。
散,[形]1.不自約束的。如：「懶散」。《荀子．修身》：「庸眾駑散，則劫之以師友。」唐．楊倞．注：「散，不拘檢者也。」2.零碎、不緊湊。如：「散工」、「散沙」。3.閒逸。如：「閒散」、「散官」。4.雜亂、沒有規則。如：《韓非子．大體》：「故至安之世，法如朝露，純樸不散。」[動]分開、解體。如：「隊伍散了」、「頭髮散了」。[名]1.藥粉。如：「胃散」、「藥散」、「消暑散」。2.姓。如周代有散宜生。
森,[形]1.樹木濃密的樣子。《說文解字．木部》：「森，木多貌。」《文選．左思．蜀都賦》：「皛貙氓於葽草，彈言鳥於森木。」2.灰暗陰冷的樣子。如：「陰森」。唐．顧況〈遊子吟〉：「泬寥群動異，眇默諸境森。」3.整肅、不可侵犯的。如：「法度森嚴」。唐．李白〈出自薊北門行〉：「虎竹救邊急，戎車森已行。」[副]眾多的。如：「森列」、「森羅萬象」。《文選．潘岳．藉田賦》：「森奉璋以階列，望皇軒而肅震。」
桑,[名]1.植物名。桑科桑屬，「桑樹」之古稱，參見「桑樹」條。2.姓。如漢代有桑弘羊。
喪,[名]1.有關死者的事宜。如：「居喪」、「治喪」、「弔喪」。《史記．卷八．高祖本紀》：「漢王聞之，袒而大哭。遂為義帝發喪，臨三日。」2.屍體。《春秋．僖公元年》：「夫人氏之喪至自齊。」《資治通鑑．卷六○．漢紀五十二．獻帝初平三年》：「鮑信戰死，操購求其喪不得，乃刻木如信狀，祭而哭焉。」3.姓。如周代有喪左。
夙,[名]早晨。如：「夙夜匪懈」。《書經．舜典》：「夙夜惟寅，直哉惟清。」唐．孔穎達．正義：「夙，早也。」《文選．潘岳．秋興賦》：「夙興晏寢，匪遑厎寧。」[形]1.舊的、以前的。《西遊記》第五二回：「且休題夙話。」2.平常的、一向的。如：「夙願」、「夙志」。《後漢書．卷八○．文苑傳下．趙壹傳》：「惟君明叡，平其夙心。」3.飽學的。通「宿」。參見「夙儒」條。
速,[副]快、急。表時間。如：「迅速」、「速成」、「速寫」。《論語．子路》：「欲速則不達，見小利大，大事不成。」[動]1.邀請。《易經．需卦．上六》：「有不速之客三人來，敬之終吉。」《文選．張衡．南都賦》：「以速遠朋，嘉賓是將；揖讓而升，宴于蘭堂。」2.招致。《左傳．昭公二十六年》：「毋速天罰，赦圖不穀。」《國語．楚語下》：「是之不恤，而蓄聚不厭，其速怨於民多矣。」[名]速度的簡稱。如：「光速」、「音速」。
粟,[名]1.植物名。禾本科狗尾草屬，「小米」之古稱。參見「小米」條。2.穀實的總稱。《淮南子．詮言》：「量粟而舂，數米而炊，可以治家，而不可治國。」3.俸祿。《史記．卷六一．伯夷列傳》：「義不食周粟，隱於首陽山，采薇而食。」4.皮膚遇寒時在表面所起的小顆粒。宋．蘇軾〈雪後書北臺〉詩二首之二：「凍合玉樓寒起粟，光搖銀海眩生花。」俗稱為「雞皮疙瘩」。5.姓。如漢代有粟舉。
索,參見「索性」(二)條。
綏,[名]上車時用以拉引的繩索。《論語．鄉黨》：「升車，必正立執綏。」《史記．卷七○．張儀傳》：「張儀至秦，洋失綏墮車，不朝三月。」[動]1.安撫。《書經．武成》：「肆予東征，綏厥士女。」《詩經．大雅．民勞》：「惠此中國，以綏四方。」2.退卻。《左傳．文公十二年》：「秦以勝歸，我何以報，乃皆出戰，交綏。」南朝梁．任昉〈奏彈曹景宗〉：「臣聞將軍死綏，咫步無卻。」3.制止。《國語．齊語》：「使民以勸，綏謗言，足以補官之不善政。」
祟,[動]作怪、為害。《管子．權修》：「上恃龜筮，好用巫醫，則鬼神驟祟。」《莊子．天道》：「一心定而王天下，其鬼不祟，其魂不疲。」[名]災禍。《戰國策．齊策四》：「寡人不祥，被於宗廟之祟，沉於諂諛之臣，開罪於君，寡人不足為也。」《紅樓夢》第七二回：「這一起外祟何日是了！」[副]做事不光明正大。如：「他做事鬼鬼祟祟。」
歲,[名]1.年。如：「舊歲」、「歲歲平安」。《書經．堯典》：「期，三百有六旬有六日，以閏月定四時，成歲。」《漢書．卷七○．陳湯傳》：「發民作城，日作五百人，二歲乃已。」2.時光。如：「歲月」。《論語．陽貨》：「日月逝矣，歲不我與。」《楚辭．宋玉．九辯》：「歲忽忽而遒盡兮，恐余壽之弗將。」3.年齡。如：「周歲」、「足歲」。《晉書．卷六六．劉弘傳》：「侃與敏同郡，又同歲舉吏。」《北史．卷七○．柳遐傳》：「遐幼而爽邁，神彩嶷然，髫歲便有成人之量。」4.一年的穀物收成。《左傳．哀公十六年》：「國人望君，如望歲焉。」《漢書．卷五八．卜式傳》：「往年西河歲惡，率齊人入粟。」5.量詞：(1) 計算時間的單位。一歲等於一年。如：「數歲之間」。(2) 計算年齡的單位。如：「孔子活了七十三歲。」
宋,[名]1.國名。周朝分封微子之地。約位於今河南省商邱縣南，後為齊所滅。2.朝代名：(1) 參見「劉宋」條。(2) 參見「宋朝」條。3.姓。如戰國時代楚國有宋玉。
妸,[名]女子的人名用字。《說文解字．女部》：「妸，女字也。」
娥,[形]美好的樣子。《廣韻．平聲．歌韻》：「娥，美好也。」《文選．枚乘．七發》：「皓齒娥眉，命曰伐性之斧。」[名]美女。如：「宮娥」。《文選．陸機．擬古詩十二首．擬今日良宴會》：「齊僮梁甫吟，秦娥張女彈。」宋．梅堯臣〈牡丹〉詩：「及來江南花亦好，絳紫淺紅如舞娥。」
硪,[名]石巖。《廣韻．平聲．歌韻》：「硪，《說文》曰：『石巖也。』」
我,(一)之讀音。
乂,[動]懲戒。如：「懲乂」。《新唐書．卷一○○．列傳．裴矩》：「太宗即位，疾貪吏，欲痛懲乂之。」
艾,[名]1.參見「艾草」條。2.比喻老人、年長的人。《史記．卷四．周本紀》：「瞽史教誨，耆艾脩之。」南朝梁．劉勰《文心雕龍．養氣》：「凡童少鑒淺而志盛，長艾識堅而氣衰。」3.美好、漂亮的人。《孟子．萬章上》：「知好色，則慕少艾。」清．孔尚任《桃花扇》第三六齣：「積得些金帛，娶了些嬌艾。」4.姓。如清代有艾元征。[動]1.盡、斷絕、停止。如：「方興未艾」。《詩經．小雅．庭燎》：「夜如何？其夜未艾。」《左傳．哀公二年》：「雖克鄭，猶有知在，憂未艾也。」2.培養、養育。《詩經．小雅．南山有臺》：「樂只君子，保艾爾後。」
敖,[動]1.遊玩。同「遨」。《說文解字．放部》：「敖，出游也。」《詩經．小雅．鹿鳴》：「我有旨酒，嘉賓式燕以敖。」《漢書．卷二四．食貨志上》：「聖王量能授事，四民陳力受職，故朝亡廢官，邑亡敖民，地亡曠土。」2.戲弄。《管子．四稱》：「誅其良臣，敖其婦女。」《新唐書．卷一六三．柳公綽傳》：「婦人敖蕩者，沉之江。」3.以小火慢煮或煎乾。通「熬」。《戰國策．魏策二》：「齊桓公夜半不嗛，易牙乃煎敖燔炙，和調五味而進之。」[副]乾煎、焦灼。通「熬」。《荀子．富國》：「天下敖然，若燒若焦。」
夭,[名]幼嫩的動、植物。《集韻．上聲．皓韻》：「夭，少長曰夭。」《國語．魯語上》：「且夫山不槎櫱，澤不伐夭。」三國吳．韋昭．注：「屮木未成曰夭。」《漢書．卷二二．禮樂志》：「眾庶熙熙，施及夭胎。」唐．顏師古．注：「少長曰夭，在孕曰胎。」
奡,[形]1.傲慢。通「傲」。唐．來鵠〈聖政紀頌〉：「無典無法，頑肩奡比。三皇實作，五帝實治。」2.矯健的樣子。唐．韓愈〈薦士〉詩：「橫空盤硬語，妥帖力排奡。」[名]人名。為夏朝時寒浞的兒子。力氣大，能陸地行舟，後為少康所殺。
安,[名]1.平穩、安全、舒適的狀況或環境。如：「居安思危」、「轉危為安」、「苟且偷安」。《論語．學而》：「君子食無求飽，居無求安。」2.安非他命的簡稱。如：「吸安」、「安毒」。3.量詞。安培的簡稱。參見「安培」條。4.姓。如漢代有安成。[形]1.平靜、恬適。如：「安寧」、「坐立不安」。《漢書．卷六四下．嚴安傳》：「心既和平，其性恬安。」2.穩定的、靜止的。如：「生活安穩」。唐．楊烱〈渾天賦〉：「故知天常安而不動，地極深而不測。」[動]1.使穩定。如：「除暴安良」、「安民」。2.裝置、設置。如：「安電燈」、「安門窗」。3.加上。如：「安罪名」。4.存、懷、居。如：「你安的是什麼心？」5.習慣、熟悉。《呂氏春秋．先識覽．樂成》：「舟車之始見也，三世然後安之。」[副]豈、怎麼。用於文言文。如：「安能如此？」《左傳．宣公十二年》：「暴而不戢，安能保大？」[代]1.何處、那裡。用於文言文。如：「而今安在？」《史記．卷七．項羽本紀》：「項王曰：『沛公安在？』良曰：『聞大王有意督過之，脫身獨去，已至軍矣。』」2.如何。《禮記．檀弓上》：「泰山其頹，則吾將安仰？」[連]乃、於是。《荀子．仲尼》：「委然成文，以示之天下，而暴國安自化矣。」
陰,同「闇」(二)。
晻,[形]1.陰暗不明的樣子。《漢書．卷九．元帝紀》：「然而陰陽未調，三光晻昧。」2.昏暗的。參見「晻世」條。
